user_id,item_id,rating,timestamp
1,183,5,1997-09-24T03:37:42Z
1,69,3,1997-09-24T03:37:42Z
1,199,4,1997-09-24T03:37:42Z
1,11,2,1997-09-24T03:37:42Z
1,161,4,1997-09-24T03:38:23Z
1,95,4,1997-09-24T03:38:23Z
1,60,5,1997-09-24T03:39:30Z
1,179,3,1997-09-24T03:39:30Z
1,83,3,1997-09-24T03:39:30Z
1,64,5,1997-09-24T03:40:04Z
1,98,4,1997-09-24T03:40:04Z
1,22,4,1997-09-24T03:40:04Z
1,135,4,1997-09-24T03:40:04Z
1,202,5,1997-09-24T03:40:42Z
1,163,4,1997-09-24T03:40:42Z
1,26,3,1997-09-24T03:40:42Z
1,89,5,1997-09-24T03:41:24Z
1,8,1,1997-09-24T03:41:24Z
1,214,4,1997-09-24T03:42:00Z
1,182,4,1997-09-24T03:42:00Z
1,48,5,1997-09-24T03:42:00Z
1,160,4,1997-09-24T03:42:27Z
1,175,5,1997-09-24T03:42:27Z
1,99,3,1997-09-24T03:42:27Z
1,192,4,1997-09-24T03:42:27Z
1,128,4,1997-09-24T03:42:53Z
1,180,3,1997-09-24T03:42:53Z
1,185,4,1997-09-24T03:43:51Z
1,143,1,1997-09-24T03:43:51Z
1,68,4,1997-09-24T03:44:48Z
1,55,5,1997-09-24T03:44:48Z
1,204,5,1997-09-24T03:44:48Z
1,56,4,1997-09-24T03:45:16Z
1,96,5,1997-09-24T03:45:16Z
1,81,5,1997-09-24T03:47:45Z
1,151,4,1997-09-24T03:47:45Z
1,79,4,1997-09-24T03:47:45Z
1,70,3,1997-09-24T03:48:15Z
1,212,4,1997-09-24T03:48:15Z
1,23,4,1997-09-24T03:48:15Z
1,84,4,1997-09-24T03:48:43Z
1,184,4,1997-09-24T03:49:16Z
1,197,5,1997-09-24T03:49:16Z
1,191,5,1997-09-24T03:49:16Z
1,94,2,1997-09-24T03:49:16Z
1,134,4,1997-09-24T03:51:07Z
1,145,2,1997-09-24T03:51:07Z
1,207,5,1997-09-24T03:51:07Z
1,186,4,1997-09-24T03:52:08Z
1,97,3,1997-09-24T03:52:08Z
1,188,3,1997-09-24T03:52:08Z
1,159,3,1997-09-24T03:53:00Z
1,85,3,1997-09-24T03:53:00Z
1,36,2,1997-09-24T03:53:00Z
1,144,4,1997-09-24T03:53:00Z
1,17,3,1997-09-24T03:53:18Z
1,174,5,1997-09-24T03:53:18Z
